,Title,Location,Company,Salary,Sponsored
0,Ionic 4/ Angular developer 6,"Kolkata, West Bengal",PatientMD,,sponsored
1,Frontend Software Developer,"Gurgaon, Haryana",Cron Systems,,
2,Consumer Insights Manager,"Bengaluru, Karnataka",Ai Palette,"₹4,00,000 - ₹6,00,000 a year",
3,Analytics Consultant,"Mumbai, Maharashtra",Fractal Analytics,,
4,Senior Data Scientist,"Hyderabad, Telangana",My Ally,,
5,Machine Learning,"Pune, Maharashtra",Accenture,,
6,CAM Developer,"Bengaluru, Karnataka",IBM,,
7,Application Support Enigneering Manager,"Chennai, Tamil Nadu",MY Search,,
8,Software Developer,"Mumbai, Maharashtra",RISK ADVISORS,,
9,Computer Vision Engineer,"Bengaluru, Karnataka",Intel,,
10,Senior Researcher-TMT,"Bengaluru, Karnataka",The Boston Consulting Group,,
